unit_name,registration_no,udyam_no,nature_of_industry,enterprise_type,product_activity,district,taluk,address,contact_person,phone,registration_date,commencement_date,gstin,pan,iec_code,has_iec,paid_up_capital,authorized_capital,employee_count,annual_turnover,export_turnover,import_turnover,bank_name,ad_code,years_in_business,mca_status,is_shell,related_party_txn_pct,turnover_capital_ratio,primary_port,hs_code_primary,s.no,"name,_address_&_email_id_of_the_unit",contact_person_name_&_contact_no.,category_(manufacturer_/_supplier),product_name,stock_in_hand_(in_nos.),production_capacity_per_week_(_in_nos.),remarks
Puri Uppal and Zachariah,TN/MSME/HL/138199,UDYAM-TN-11-23-0356779,Handicraft,Micro,General Products,Tiruchirappalli,Tiruchirappalli Taluk,"084, Sant Zila, Medininagar 976177",Pushti Magar,04797110327,2021-02-19,2021-03-08,33RXCPN0026R2Z8,RXCPN0026R,,False,685264.0,970886.0,8.0,1352138.0,0.0,87340.0,State Bank of India,446163,5.0,active,False,0.015331541477977306,1.9731636274486912,INMAA4,0901,,,,,,,,
Choudhury and Sons,TN/MSME/Bb/441635,UDYAM-TN-07-23-0291477,Textile,Micro,Knitted Fabric,Tiruchirappalli,Tiruchirappalli Taluk,"51/521, Taneja Path, Suryapet 855065",Kashish Suri,+914911350014,2023-11-04,2023-12-30,33NZJAR2683G1ZC,NZJAR2683G,,False,282244.0,474202.0,5.0,836304.0,0.0,209270.0,Bank of Baroda,030572,2.0,active,False,0.053290605034128226,2.9630532447102507,INMAA4,6403,,,,,,,,
Hora-Mody,TN/MSME/uV/163614,UDYAM-TN-21-21-0687278,Leather,Micro,Leather Footwear,Thoothukudi,Thoothukudi Taluk,"13, Vala Circle, Alappuzha-948248",Rajata Dhar,9262869727,2013-06-27,2013-11-12,33MHYCW5687H1ZU,MHYCW5687H,,False,1126811.0,1970619.0,2.0,1157749.0,0.0,307272.0,Axis Bank,835025,12.0,active,False,0.021430738566309396,1.027456245989789,INTUT1,8471,,,,,,,,
Manne Ltd,TN/MSME/Nq/083215,UDYAM-TN-17-20-0713329,Handicraft,Small,General Products,Vellore,Vellore Taluk,"13, Sekhon Ganj, Ambala 308519",Anjali Bahl,1747164693,2014-11-24,2015-01-10,33FZNFC7811V6ZE,FZNFC7811V,,False,29303314.0,60982620.0,49.0,87625800.0,0.0,17920624.0,ICICI Bank,343120,11.0,active,False,0.04002377849288142,2.9903034175588465,INMAA4,6403,,,,,,,,
Borah Ltd,TN/MSME/td/395387,UDYAM-TN-21-23-0020423,Agro-based Industry,Micro,General Products,Thanjavur,Thanjavur Taluk,"957, Jaggi Path, Munger 063692",Rehaan Gopal,09662896186,2014-04-25,2014-07-18,33ZTNFD8266E4ZK,ZTNFD8266E,,False,113611.0,132675.0,9.0,317682.0,0.0,34593.0,Axis Bank,877492,11.0,struck_off,False,0.1210162207195693,2.796225717580164,INMAA4,8517,,,,,,,,
Bhakta Kalita and Mand,TN/MSME/Fr/455979,UDYAM-TN-24-23-0943314,Leather,Micro,Finished Leather,Coimbatore,Coimbatore South,"11/63, Thaker Zila, Tirupati-472384",Omya Bedi,+911422148158,2021-01-16,2021-07-03,33ZNDPV4528N2Z8,ZNDPV4528N,,False,2138391.0,3798560.0,4.0,4880604.0,0.0,177172.0,Union Bank of India,142943,5.0,active,False,0.050712834322118296,2.2823721199724467,INICJ4,8703,,,,,,,,
Dixit Inc,TN/MSME/Wc/028006,UDYAM-TN-28-22-0444155,Leather,Micro,Leather Footwear,Krishnagiri,Krishnagiri Taluk,"H.No. 746, Mangal Marg, Alwar 351713",Harish Krishna,5928016086,2025-07-28,2025-11-07,33BAICQ2621S6ZP,BAICQ2621S,,False,346934.0,560872.0,7.0,338616.0,0.0,87752.0,Indian Bank,965547,0.0,active,False,0.09801832323986874,0.9760242582162602,INMAA4,6403,,,,,,,,
Mall-Ganguly,TN/MSME/fn/963365,UDYAM-TN-16-21-0426157,Engineering,Small,Castings,Tiruchirappalli,Tiruchirappalli Taluk,"H.No. 228, Keer, Bahraich 176801",Ekantika Manne,+914092681753,2018-01-09,2018-06-22,33ENDCF2294R1ZD,ENDCF2294R,,False,9832920.0,16995825.0,45.0,25467940.0,0.0,1633111.0,Indian Bank,529095,8.0,active,False,0.008795309995826839,2.5900688706915136,INMAA4,0901,,,,,,,,
Kakar Kari and Grewal,TN/MSME/zV/082159,UDYAM-TN-05-21-0423390,Agro-based Industry,Micro,General Products,Chennai,Ambattur,"72/501, Dada Path, Barasat-788890",Luke Devan,06292613482,2013-04-13,2013-09-09,33EHZAS7030P2ZD,EHZAS7030P,,False,2431061.0,2868238.0,2.0,6389694.0,0.0,1706599.0,Indian Bank,888217,13.0,active,False,0.08917787303001617,2.628356096371091,INNSA1,8703,,,,,,,,
Choudhry-Sem,TN/MSME/Oz/393687,UDYAM-TN-05-21-0387478,Handloom,Medium,General Products,Madurai,Thirumangalam,"H.No. 857, Shenoy Path, Patna-685521",Yash Arora,00233637036,2021-03-14,2021-09-07,33GKRFJ4990T1ZE,GKRFJ4990T,,False,104830411.0,149643429.0,180.0,121917876.0,0.0,16026759.0,Indian Overseas Bank,096352,5.0,active,False,0.04537757144683348,1.1630010303021707,INMAA4,2601,,,,,,,,
